Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2021-07-05,15:36:01,212.62,28.11,14852920.52,2.9320055796681102e-05
2021-07-05,15:36:02,213.22,28.11,14852920.44,2.9320823315073246e-05
2021-07-05,15:36:02,213.84,28.11,14852920.38,2.9322108642099076e-05
2021-07-05,15:36:03,214.46,28.11,14852920.37,2.9322922953278848e-05
2021-07-05,15:36:04,215.28,28.12,14852920.33,2.9324178816281273e-05
2021-07-05,15:36:04,215.89,28.12,14852920.31,2.932551667048089e-05
2021-07-05,15:36:05,216.51,28.12,14852920.27,2.9325715863087925e-05
2021-07-05,15:36:06,217.12,28.12,14852920.21,2.9326288706704783e-05
2021-07-05,15:36:06,217.76,28.12,14852920.17,2.9326751050308452e-05
2021-07-05,15:36:07,218.57,28.12,14852920.14,2.9327433188098255e-05
2021-07-05,15:36:08,219.19,28.12,14852920.11,2.9328509869843612e-05
2021-07-05,15:36:08,219.81,28.12,14852920.07,2.9328784301760562e-05
2021-07-05,15:36:09,220.44,28.12,14852920.04,2.932930046421453e-05
2021-07-05,15:36:10,221.08,28.12,14852920.01,2.9328258592301067e-05
2021-07-05,15:36:10,221.9,28.12,14852919.95,2.9327927069395934e-05
2021-07-05,15:36:11,222.51,28.12,14852919.92,2.9328722651465335e-05
2021-07-05,15:36:12,223.12,28.12,14852919.89,2.9329623979269438e-05
2021-07-05,15:36:12,223.74,28.13,14852919.86,2.9329180799255636e-05
2021-07-05,15:36:13,224.55,28.13,14852919.82,2.932980534664035e-05
2021-07-05,15:36:14,225.16,28.13,14852919.78,2.932953810676553e-05
2021-07-05,15:36:14,225.78,28.13,14852919.74,2.9329591951229834e-05
2021-07-05,15:36:15,226.4,28.13,14852919.7,2.9329069141361893e-05
2021-07-05,15:36:16,227.22,28.13,14852919.66,2.9329055661337782e-05
2021-07-05,15:36:16,227.84,28.13,14852919.57,2.9328733848310154e-05
2021-07-05,15:36:17,228.47,28.13,14852919.53,2.9328602524826335e-05
2021-07-05,15:36:18,229.1,28.13,14852919.52,2.9327806102997126e-05
2021-07-05,15:36:18,229.73,28.13,14852919.51,2.932846490060265e-05
2021-07-05,15:36:19,230.37,28.13,14852919.51,2.9327867359512466e-05
2021-07-05,15:36:20,231.19,28.13,14852919.4,2.9328388771396062e-05
2021-07-05,15:36:20,231.8,28.13,14852919.35,2.932891701866112e-05
2021-07-05,15:36:21,232.42,28.14,14852919.3,2.9329075257356594e-05
2021-07-05,15:36:21,233.04,28.14,14852919.21,2.932891650140284e-05
2021-07-05,15:36:22,233.86,28.14,14852919.17,2.9328164527935463e-05
