Time,fundamental_freq,fundamental_dis,3rd_freq,3rd_dis,5th_freq,5th_dis,7th_freq,7th_dis,9th_freq,9th_dis,11th_freq,11th_dis,13th_freq,13th_dis,Temp
3497.0843915,4960867.12091073,0.0001875142846692,14865991.4075927,0.0001001142131456,24773408.5266617,7.92597900937545e-05,34679471.9580738,6.82997848222006e-05,44586272.9400596,6.29418660715927e-05,54492884.45226,5.8758735397404e-05,64400094.4873533,5.65783081984422e-05,24.9966506958008
3502.1319855,4960867.58668646,0.0001874263858172,14865993.0985754,0.0001000561110295,24773411.0754592,7.92212979001445e-05,34679475.7968468,6.82422780198168e-05,44586277.3976514,6.29779905834802e-05,54492889.7174691,5.86931810191314e-05,64400099.0747279,5.68215948296287e-05,24.9905395507813
3507.167968,4960867.84909784,0.0001873526844067,14865993.9856754,0.0001000234065356,24773412.3654943,7.92106472205644e-05,34679477.5477662,6.81982299606037e-05,44586276.9288666,6.28766912381399e-05,54492894.7051608,5.86839831450314e-05,64400105.2595447,5.66933192992672e-05,25.0010147094727
3512.2068468,4960867.97193116,0.0001873269735285,14865994.104573,9.99724658070663e-05,24773412.83493,7.9194234770825e-05,34679478.5383902,6.82444499093539e-05,44586279.3084972,6.28526849423547e-05,54492893.2018576,5.87004246229172e-05,64400108.8295985,5.66158332781358e-05,24.9857959747314
3517.2489481,4960867.91041917,0.0001872806106743,14865994.3653691,9.99766240884012e-05,24773412.7774912,7.92214474604727e-05,34679478.5003841,6.81283638095129e-05,44586278.7045204,6.28037416644598e-05,54492896.6037868,5.85999246073702e-05,64400110.2120076,5.66286997010157e-05,25.009090423584
3522.3057809,4960867.94776106,0.0001872371298256,14865994.2685899,9.99537935265802e-05,24773412.7043756,7.91987790446029e-05,34679478.6982899,6.82378977242934e-05,44586280.5624597,6.28111390860816e-05,54492893.6425081,5.86130776865691e-05,64400109.2618832,5.64888485533693e-05,25.0131435394287
3527.351288,4960867.88601504,0.0001871842185425,14865994.1624542,9.99636420844612e-05,24773412.4278795,7.92095267873848e-05,34679479.2140755,6.80973000823623e-05,44586281.3217498,6.2912122341842e-05,54492896.0525466,5.86387382968889e-05,64400106.2322724,5.66910166187716e-05,25.0002403259277
3532.3959899,4960867.74661882,0.0001872011249796,14865993.9078874,9.99531422026526e-05,24773412.3309455,7.92005441671099e-05,34679477.518361,6.81737138226595e-05,44586279.1754905,6.28990134357175e-05,54492896.0051829,5.86200238915579e-05,64400110.0561093,5.64544946078778e-05,25.0003643035889
3537.4332967,4960867.61647784,0.0001871979062724,14865993.7059729,9.99343868589142e-05,24773411.9796149,7.91842768426701e-05,34679477.9351804,6.8205980248635e-05,44586280.2281549,6.28150706096866e-05,54492894.9706701,5.86572517036415e-05,64400106.6762086,5.66386200660627e-05,24.9938545227051
3542.4904383,4960867.52366577,0.0001871732175579,14865993.4393165,9.99124118537698e-05,24773411.403874,7.91766510783975e-05,34679477.723948,6.82354973344946e-05,44586279.098381,6.28733140729616e-05,54492894.8393688,5.86574431820786e-05,64400108.3530866,5.66375188582585e-05,25.0064601898193
3547.5225736,4960867.38053557,0.0001871607595887,14865993.1320273,9.99430780954723e-05,24773411.1448089,7.9194297853798e-05,34679477.0316781,6.81846695780183e-05,44586277.8107163,6.2792131028318e-05,54492894.223232,5.85999124415947e-05,64400109.3114745,5.65107164501803e-05,24.9841613769531
3552.5800279,4960867.20926705,0.000187147704104,14865992.8991963,9.99220012169702e-05,24773410.646735,7.92315391188298e-05,34679477.6551748,6.82054236110866e-05,44586279.8830836,6.29132523524926e-05,54492895.2637513,5.86208162582399e-05,64400110.920638,5.6580526240958e-05,25.0055770874023
3557.6171879,4960867.11116272,0.0001871638444314,14865992.5968001,9.99577326306616e-05,24773410.339853,7.92206838709688e-05,34679475.8317884,6.81691190520698e-05,44586277.0636257,6.28293796459157e-05,54492894.372435,5.86046423364612e-05,64400109.8525987,5.66126869919967e-05,24.9965744018555
3562.6679647,4960867.0412476,0.000187159899796,14865992.2934359,9.9961707511326e-05,24773409.9638183,7.92578430468482e-05,34679476.1885357,6.82383446841259e-05,44586277.130195,6.29889806835953e-05,54492892.8056345,5.86110745047991e-05,64400103.2567147,5.64337951069494e-05,25.011589050293
3567.7144089,4960866.79375933,0.0001871230033537,14865991.9229546,9.99589960827204e-05,24773409.5252849,7.92389268487338e-05,34679474.8561647,6.8232928592463e-05,44586278.3021486,6.28109983799872e-05,54492893.7801164,5.86527384306654e-05,64400111.7207966,5.65462214965166e-05,24.9900684356689
3572.761367,4960866.80978058,0.0001871296602569,14865991.7443208,9.99725568804499e-05,24773409.0586898,7.9249600971033e-05,34679474.5911893,6.82905163353772e-05,44586275.6754821,6.28495277292841e-05,54492892.2623694,5.86462727003309e-05,64400105.831769,5.65926113171582e-05,24.9903659820557
3577.8126085,4960866.64550384,0.0001870545918463,14865991.5304661,9.99409655775258e-05,24773408.968377,7.92744989347224e-05,34679474.1048356,6.82376656596479e-05,44586275.7215603,6.28776697201924e-05,54492893.5123698,5.86609401535981e-05,64400105.3538904,5.6668282152191e-05,25.0021572113037
3582.8599246,4960866.47736261,0.0001870914532747,14865991.2538629,9.99937107982668e-05,24773408.2475286,7.92772553289489e-05,34679473.8352274,6.82707692561333e-05,44586276.7188104,6.29289894978284e-05,54492891.4025767,5.8613984260141e-05,64400107.0272042,5.65000147135869e-05,24.9938621520996
3587.9066041,4960866.41832536,0.0001871111216855,14865990.9717063,9.99283733828057e-05,24773407.8546827,7.92655836697969e-05,34679473.9904473,6.83007338321218e-05,44586273.47099,6.29464363687184e-05,54492890.4298457,5.86421478970258e-05,64400105.5963857,5.65786825794747e-05,25.0197257995605
3592.9579129,4960866.29969351,0.0001870995031958,14865990.8690196,9.99544151313186e-05,24773407.8553468,7.92579454158041e-05,34679473.2470717,6.81854192434772e-05,44586274.1743293,6.2935600668046e-05,54492891.2493997,5.86519138593714e-05,64400110.7018392,5.6709893993077e-05,24.9993057250977
3598.0069758,4960866.34526647,0.0001870980712656,14865990.6174714,9.9956779340843e-05,24773407.4646513,7.92737434183592e-05,34679473.8405438,6.82606166382091e-05,44586276.415637,6.28473867356172e-05,54492889.0362791,5.86489156204905e-05,64400104.255944,5.65363763582004e-05,24.9781761169434
3603.0616837,4960866.18521225,0.0001871020336851,14865990.4329935,9.9960017114993e-05,24773406.9360141,7.93088927022161e-05,34679471.871475,6.82377673408642e-05,44586276.6763606,6.28021639649429e-05,54492889.5706902,5.86707813652655e-05,64400110.51582,5.66156484519731e-05,24.9824867248535
3608.1159276,4960866.05396211,0.000187096468276,14865990.2666053,9.9951266759591e-05,24773406.8523047,7.92883467578386e-05,34679472.6319437,6.83126065547757e-05,44586273.3794037,6.28079358534423e-05,54492889.9183668,5.88006369095399e-05,64400102.7867549,5.66397932185112e-05,24.9988632202148
3613.1554304,4960866.01556443,0.0001870880353442,14865990.1445604,0.0001000012175752,24773406.8465891,7.9314260081063e-05,34679472.4385655,6.8297404570119e-05,44586274.4205916,6.28240098172438e-05,54492890.9842584,5.87495884880163e-05,64400101.0842747,5.67642859264837e-05,25.0047550201416
3618.2026277,4960865.89731293,0.0001871163733717,14865989.9511419,9.99773576678391e-05,24773406.143578,7.92973543553136e-05,34679471.9793722,6.83168265404591e-05,44586274.3649663,6.29423124087162e-05,54492889.925373,5.86469159524644e-05,64400107.4868725,5.65526716517518e-05,25.0017623901367
3623.2333524,4960865.84747316,0.000187096228245,14865989.6290925,9.99964888979601e-05,24773405.9756804,7.93479182581511e-05,34679472.8766775,6.83609279225336e-05,44586274.2725781,6.30211914587283e-05,54492889.118295,5.87666350983344e-05,64400103.0882573,5.66741384904134e-05,25.0161914825439
3628.2822701,4960865.83474318,0.0001870816348146,14865989.749026,9.99868096777245e-05,24773405.9927236,7.93264708146947e-05,34679471.0792869,6.82471844450309e-05,44586273.4248779,6.29497688398277e-05,54492889.6641131,5.86948041857367e-05,64400106.4376998,5.67448481573335e-05,25.0044174194336
3633.3278358,4960865.77710177,0.0001870736181991,14865989.5608914,9.99917367058976e-05,24773405.4736929,7.92889888229308e-05,34679472.1056403,6.83385047309397e-05,44586272.4512242,6.29812153643957e-05,54492890.5099942,5.87244109438604e-05,64400104.3114475,5.64608259730689e-05,25.0010986328125
3638.3693288,4960865.72892134,0.0001870838181427,14865989.5997506,9.99908728223489e-05,24773405.7276564,7.93078174189089e-05,34679471.2592703,6.83005965153834e-05,44586274.1685041,6.29809166021171e-05,54492890.4673126,5.87375796773454e-05,64400104.1367308,5.66175098471855e-05,25.0108814239502
3643.4015377,4960865.69982792,0.0001870605848089,14865989.3894304,9.99910982082604e-05,24773405.3552577,7.93228822311708e-05,34679470.4193598,6.83493318341508e-05,44586273.4916129,6.29251301116234e-05,54492888.6991143,5.87510229732359e-05,64400103.7490992,5.65041376641325e-05,25.0276012420654
